43
1
64
199.21	300
198.244	293.758
199.394	287.455
201.08	281.177
202.903	274.917
204.726	268.656
206.866	262.441
209.096	256.239
211.871	250.134
214.144	243.959
215.329	237.632
216.077	231.28
216.436	224.908
217.009	218.543
217.427	212.175
217.5	205.799
217.197	199.425
218.149	193.098
223.093	198.179
228.062	203.635
232.696	209.22
237.33	214.805
242.05	220.358
247.079	225.79
252.108	231.223
257.137	236.656
262.166	242.088
267.195	247.521
272.224	252.954
277.254	258.386
282.283	263.819
287.312	269.252
292.341	274.684
297.37	280.117
302.399	285.55
307.428	290.982
312.457	296.415
317.486	301.848
322.516	307.281
327.545	312.713
332.574	318.146
337.603	323.579
342.632	329.011
347.661	334.444
352.69	339.877
357.72	345.309
362.749	350.742
367.778	356.175
372.807	361.608
377.836	367.04
382.865	372.473
387.894	377.906
392.923	383.338
397.953	388.771
402.982	394.204
408.011	399.636
413.04	405.069
418.069	410.502
423.098	415.934
428.127	421.367
433.157	426.8
438.186	432.232
443.215	437.665
448.244	443.098
1
32
212	262
213	261
216	258
219	255
223	252
227	248
232	243
237	235
243	227
249	215
255	204
262	194
263	192
264	192
265	200
266	213
268	233
268	256
269	279
270	307
273	330
275	342
276	351
278	360
279	368
279	381
280	393
280	406
281	414
281	417
282	415
282	412
2
54
237	307
239	302
247	290
256	277
269	262
284	247
293	239
302	233
311	228
319	227
330	226
343	226
356	228
372	233
387	239
397	244
406	251
412	259
416	266
419	275
420	286
420	297
419	308
414	320
408	330
399	341
390	349
380	359
368	371
355	384
342	397
328	409
311	421
295	431
275	442
258	450
242	459
230	467
218	477
210	483
207	485
220	487
241	490
271	495
306	499
332	503
357	504
380	505
395	505
407	506
416	508
421	509
426	510
429	510
3
61
242	212
246	208
251	205
256	201
262	197
268	195
274	192
278	191
282	191
287	191
294	191
300	193
305	195
309	198
315	201
319	204
321	207
323	211
323	216
324	223
323	230
320	238
316	243
310	247
303	249
296	250
288	252
280	252
275	252
272	252
271	251
274	251
283	255
291	260
301	266
309	271
312	275
314	278
317	282
319	288
322	296
323	302
324	310
324	318
322	327
318	336
315	343
311	349
307	352
303	353
298	354
292	354
287	353
278	347
269	342
262	337
256	333
252	329
248	326
246	324
245	324
4
64
159.465	300
169.544	305.439
179.244	311.826
188.74	318.629
198.442	325.012
208.427	330.74
218.116	337.088
227.426	344.245
236.635	351.583
245.803	358.991
254.9	366.521
263.626	374.643
272.45	382.607
281.548	390.137
290.645	397.667
299.7	405.27
308.703	412.958
317.761	420.553
326.049	429.219
331.596	427.597
331.644	414.451
331.243	401.317
330.663	388.191
329.211	375.158
327.741	362.128
325.861	349.172
324.284	336.165
323.036	323.102
321.532	310.078
319.934	297.069
318.51	284.034
317.475	270.946
317.171	257.817
318.223	244.75
318.272	231.604
318.32	218.458
318.369	205.313
318.418	192.167
319.469	179.219
